supplier,sku,group,prob,source
SE,300200300_,"Контакторы, пускатели, управление",1.0,rules
SE,300200301_,Розетки и выключатели,1.0,rules
SE,300200302_,Розетки и выключатели,1.0,rules
SE,300200303_,Розетки и выключатели,1.0,rules
SE,300200304_,Розетки и выключатели,1.0,rules
SE,300200305_,Розетки и выключатели,1.0,rules
SE,300200306_,Розетки и выключатели,1.0,rules
SE,300200307_,Розетки и выключатели,1.0,rules
SE,300200308_,Розетки и выключатели,1.0,rules
SE,300200309_,Розетки и выключатели,1.0,rules
SE,300200310_,Розетки и выключатели,1.0,rules
SE,300200311_,Розетки и выключатели,1.0,rules
SE,300200312_,Розетки и выключатели,1.0,rules
SE,300200313_,Розетки и выключатели,1.0,rules
SE,300200314_,Розетки и выключатели,1.0,rules
SE,300200315_,Розетки и выключатели,1.0,rules
SE,300200316_,Розетки и выключатели,1.0,rules
SE,300200317_,Розетки и выключатели,1.0,rules
SE,300200318_,Розетки и выключатели,1.0,rules
SE,300200319_,Розетки и выключатели,1.0,rules
SE,300200320_,Розетки и выключатели,1.0,rules
SE,300200321_,Розетки и выключатели,1.0,rules
SE,300200322_,Розетки и выключатели,1.0,rules
SE,300200323_,Розетки и выключатели,1.0,rules
SE,300200324_,Розетки и выключатели,1.0,rules
SE,300200325_,Розетки и выключатели,1.0,rules
SE,300200326_,Розетки и выключатели,1.0,rules
SE,300200327_,Розетки и выключатели,1.0,rules
SE,300200328_,Розетки и выключатели,1.0,rules
SE,300200330_,Розетки и выключатели,1.0,rules
SE,300200331_,Розетки и выключатели,1.0,rules
SE,300200332_,Розетки и выключатели,1.0,rules
SE,300200333_,Розетки и выключатели,1.0,rules
SE,300200335_,Розетки и выключатели,1.0,rules
SE,300200343_,Розетки и выключатели,1.0,rules
SE,300200346_,Розетки и выключатели,1.0,rules
SE,300200347_,Розетки и выключатели,1.0,rules
SE,300200348_,Розетки и выключатели,1.0,rules
SE,300200350_,Розетки и выключатели,1.0,rules
SE,300200351_,Розетки и выключатели,1.0,rules
SE,300200352_,Розетки и выключатели,1.0,rules
SE,300200362_,Розетки и выключатели,1.0,rules
